base_year_month,time_type,user_type,age_range,use_amount_by_million
201803,오전,제주도민,20대,349
201803,오전,제주도민,30대,982
201803,오전,제주도민,40대,1940
201803,오전,제주도민,50대,2245
201803,오전,제주도민,60대,1305
201803,오전,제주도민,70대 이상,572
201803,오후,내국인,19세 이하,22
201803,오후,내국인,20대,1658
201803,오후,내국인,30대,3579
201803,오후,내국인,40대,3476
201803,오후,내국인,50대,3530
201803,오후,내국인,60대,1820
201803,오후,내국인,70대 이상,450
201803,오후,제주도민,19세 이하,24
201803,오후,제주도민,20대,1046
201803,오후,제주도민,30대,2636
201803,오후,제주도민,40대,4904
201803,오후,제주도민,50대,4836
201803,오후,제주도민,60대,2761
201803,오후,제주도민,70대 이상,1052
201803,저녁,내국인,19세 이하,11
201803,저녁,내국인,20대,1777
201803,저녁,내국인,30대,3446
201803,저녁,내국인,40대,3366
201803,저녁,내국인,50대,3391
201803,저녁,내국인,60대,1641
201803,저녁,내국인,70대 이상,325
201803,저녁,제주도민,19세 이하,35
201803,저녁,제주도민,20대,1821
201803,저녁,제주도민,30대,3694
201803,저녁,제주도민,40대,6091
201803,저녁,제주도민,50대,5840
201803,저녁,제주도민,60대,2527
201803,저녁,제주도민,70대 이상,597
201803,점심,내국인,19세 이하,13
201803,점심,내국인,20대,1309
201803,점심,내국인,30대,2719
201803,점심,내국인,40대,2545
201803,점심,내국인,50대,2567
201803,점심,내국인,60대,1480
201803,점심,내국인,70대 이상,399
201803,점심,제주도민,19세 이하,9
201803,점심,제주도민,20대,782
201803,점심,제주도민,30대,2072
201803,점심,제주도민,40대,3698
201803,점심,제주도민,50대,3648
201803,점심,제주도민,60대,2153
201803,점심,제주도민,70대 이상,911
201804,밤,내국인,19세 이하,5
201804,밤,내국인,20대,581
201804,밤,내국인,30대,1089
201804,밤,내국인,40대,1250
201804,밤,내국인,50대,1120
201804,밤,내국인,60대,368
201804,밤,내국인,70대 이상,71
201804,밤,제주도민,19세 이하,11
201804,밤,제주도민,20대,1045
201804,밤,제주도민,30대,1591
201804,밤,제주도민,40대,2518
201804,밤,제주도민,50대,2170
201804,밤,제주도민,60대,636
201804,밤,제주도민,70대 이상,105
201804,오전,내국인,19세 이하,21
201804,오전,내국인,20대,715
201804,오전,내국인,30대,1974
201804,오전,내국인,40대,2108
201804,오전,내국인,50대,2159
201804,오전,내국인,60대,1245
201804,오전,내국인,70대 이상,352
201804,오전,제주도민,19세 이하,6
201804,오전,제주도민,20대,335
201804,오전,제주도민,30대,986
201804,오전,제주도민,40대,1961
201804,오전,제주도민,50대,2291
201804,오전,제주도민,60대,1246
201804,오전,제주도민,70대 이상,523
201804,오후,내국인,19세 이하,59
201804,오후,내국인,20대,1504
201804,오후,내국인,30대,3848
201804,오후,내국인,40대,3922
201804,오후,내국인,50대,3996
201804,오후,내국인,60대,2280
201804,오후,내국인,70대 이상,605
201804,오후,제주도민,19세 이하,21
201804,오후,제주도민,20대,1014
201804,오후,제주도민,30대,2652
201804,오후,제주도민,40대,4790
201804,오후,제주도민,50대,4800
